id,value
Basic Industries|Precious Metals|CMCL(0.188B),0.188B
Basic Industries|Precious Metals|DNN(0.862B),0.862B
Basic Industries|Precious Metals|DRD(0.802B),0.802B
Basic Industries|Precious Metals|EGO(2.119B),2.119B
Basic Industries|Precious Metals|EMX(0.286B),0.286B
Basic Industries|Precious Metals|EQX(2.199B),2.199B
Basic Industries|Precious Metals|EXK(0.907B),0.907B
Basic Industries|Precious Metals|EXN(0.099B),0.099B
Basic Industries|Precious Metals|FCX(49.844B),49.844B
Basic Industries|Precious Metals|FNV(21.635B),21.635B
Basic Industries|Precious Metals|FSM(1.356B),1.356B
Basic Industries|Precious Metals|FURY(0.172B),0.172B
Basic Industries|Precious Metals|GATO(0.788B),0.788B
Basic Industries|Precious Metals|GFI(7.659B),7.659B
Basic Industries|Precious Metals|GLDG(0.247B),0.247B
Basic Industries|Precious Metals|GOLD(36.132B),36.132B
Basic Industries|Precious Metals|GORO(0.199B),0.199B
Basic Industries|Precious Metals|GPL(0.353B),0.353B
Basic Industries|Precious Metals|GSM(0.536B),0.536B
Basic Industries|Precious Metals|GSS(0.358B),0.358B
Basic Industries|Precious Metals|HBM(1.939B),1.939B
Basic Industries|Precious Metals|HMY(2.252B),2.252B
Basic Industries|Precious Metals|HYMC(0.346B),0.346B
Basic Industries|Precious Metals|HYMCL(0.000B),0.000B
Basic Industries|Precious Metals|HYMCW(0.000B),0.000B
Basic Industries|Precious Metals|HYMCZ(0.000B),0.000B
Basic Industries|Precious Metals|IAG(1.507B),1.507B
Basic Industries|Precious Metals|ITRG(0.184B),0.184B
Basic Industries|Precious Metals|KGC(8.431B),8.431B
Basic Industries|Precious Metals|KL(9.704B),9.704B
Basic Industries|Precious Metals|KOR(0.281B),0.281B
Basic Industries|Precious Metals|LAC(2.353B),2.353B
Basic Industries|Precious Metals|LODE(0.159B),0.159B
Basic Industries|Precious Metals|MAG(1.825B),1.825B
Basic Industries|Precious Metals|MMX(0.684B),0.684B
Basic Industries|Precious Metals|MP(7.230B),7.230B
Basic Industries|Precious Metals|MSB(0.364B),0.364B
Basic Industries|Precious Metals|MTA(0.382B),0.382B
Basic Industries|Precious Metals|MUX(0.533B),0.533B
Basic Industries|Precious Metals|NAK(0.398B),0.398B
Basic Industries|Precious Metals|NEM(46.081B),46.081B
Basic Industries|Precious Metals|NEXA(1.261B),1.261B
Basic Industries|Precious Metals|NG(2.982B),2.982B
Basic Industries|Precious Metals|NGD(1.042B),1.042B
Basic Industries|Precious Metals|NXE(1.405B),1.405B
